ENTPID,ITEMID,ITEMLL,FRNID,FRNLL,RAYID,CIRCUITLL,MNFID,LOCID,SUM(NBPRISEPREP)
970,7627114,LOT SERV ET DB       590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,187,2
970,7629172,HC 140 UNI           551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,1188,1
970,7629156,TC UNIE              552,103553,VISTEX LIMITED,50,BLANP 15/12,16544,794,3
970,7627096,MAXI DB UNI          700,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,1248,1
970,7627015,ESSUIE MAIN NA       ASSORTI,12449,MPX IMPORT,50,BLANP 15/12,16422,1571,2
970,7627186,LOT240 CODY TERRAC   190,12449,MPX IMPORT,50,BLANP 15/12,16422,1360,1
970,7629164,TAIE RECT UNIE       552,103553,VISTEX LIMITED,50,BLANP 15/12,16544,847,1
970,7629164,TAIE RECT UNIE       552,103553,VISTEX LIMITED,50,BLANP 15/12,16544,53,1
970,7627160,SERV LITEAU PLISSE   650,103030,"FELPINTER INDUSTRIAS TEXTEIS,SA",50,BLANP 15/12,16422,169,1
970,7629154,TC UNIE              551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,170,2
970,7627009,TORCH COT SLUB RAYE  ASSORTI,12449,MPX IMPORT,50,BLANP 15/12,16422,184,1
970,7629222,HC240 PRINT RAYURE   690,103553,VISTEX LIMITED,50,BLANP 15/12,16544,806,1
970,7627148,2GANTS LITEAU CHAIN  810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,166,1
970,7629221,DH 160 UNI           551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,1353,2
970,7629152,TC UNIE              691,103553,VISTEX LIMITED,50,BLANP 15/12,16544,166,2
970,7629164,TAIE RECT UNIE       552,103553,VISTEX LIMITED,50,BLANP 15/12,16544,144,2
970,7627160,SERV LITEAU PLISSE   650,103030,"FELPINTER INDUSTRIAS TEXTEIS,SA",50,BLANP 15/12,16422,664,1
970,7627877,COUETTE CO MICRO140  691,110629,ABEIL SAS,50,BLANP 15/12,16422,18,1
970,7627140,SERV LITEAU CHAIN    810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,1350,2
970,7627102,MAXI DB UNI          590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,311,2
970,7628314,COUETTE 140  MICRO   B00,110629,ABEIL SAS,50,BLANP 15/12,16422,314,1
970,7627102,MAXI DB UNI          590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,1360,1
970,7627102,MAXI DB UNI          590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,18,1
970,7627154,DDB LITEAU CHAIN     810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,365,1
970,7627880,COUETTE CO MICRO140  991,110629,ABEIL SAS,50,BLANP 15/12,16422,194,1
970,7629164,TAIE RECT UNIE       552,103553,VISTEX LIMITED,50,BLANP 15/12,16544,1334,1
