MNFID,CMDID,ITEMID,RECPQTY_COLIS
16422,73430972,7663667,285
16422,73430972,7663667,285
16422,73430972,7663667,83
16422,73430968,7628135,320
16422,73430968,7628135,320
16422,73430968,7628135,320
16422,73430968,7628135,320
16422,73430968,7628135,320
16422,73430968,7628135,88
16422,73392208,7628072,168
16422,73392208,7628072,26
16422,73430968,7627887,144
16422,73430968,7627887,137
16422,73430968,7627882,289
16422,73430971,7626922,440
16422,73430971,7626922,77
16422,73430971,7626938,440
16422,73430971,7626938,243
16422,73392208,7626898,210
16422,73392208,7626898,210
16422,73392208,7626898,210
16422,73392208,7626898,90
16422,73392208,7626891,210
16422,73392208,7626891,210
16422,73392208,7626891,28
16422,73430971,7626932,440
16422,73430971,7626932,132
16422,73430971,7626929,440
16422,73430971,7626929,55
16422,73430971,7626935,440
16422,73430971,7626935,166
16422,73430968,7628300,289
16422,73430968,7628298,145
16422,73430968,7628298,144
16422,73392208,7628074,193
16422,73181022,5115024,189
16422,73182085,5115974,80
16422,73182085,5115974,80
16422,73182085,5115974,80
16422,73182085,5115974,80
16422,73182085,5115974,80
16422,73182085,5115974,80
16422,73182085,5115974,80
16422,73182085,5115974,34
16422,73181022,5114962,342
16422,73181022,5114962,204
16422,73181022,5114962,23
16422,73182085,5115784,60
16422,73182085,5115784,60
16422,73182085,5115784,43
16422,73182085,5115784,27
16422,73181022,5114541,342
16422,73181022,5114541,342
16422,73181022,5114541,221
16422,73182085,5116266,80
16422,73182085,5116266,80
16422,73182085,5116266,80
16422,73182085,5116266,80
16422,73182085,5116266,80
16422,73182085,5116266,80
16422,73182085,5116266,80
16422,73182085,5116266,80
16422,73182085,5116266,80
16422,73182085,5116266,80
16422,73182085,5116266,19
16422,73182085,5116173,80
16422,73182085,5116173,80
16422,73182085,5116173,80
16422,73182085,5116173,80
16422,73182085,5116173,80
16422,73182085,5116173,80
16422,73182085,5116173,80
16422,73182085,5116173,80
16422,73182085,5116173,80
16422,73182085,5116173,80
16422,73182085,5116173,36
16422,73182085,7627983,80
16422,73182085,7627983,80
16422,73182085,7627983,80
16422,73182085,7627983,80
16422,73182085,7627983,64
16422,73182085,7627985,80
16422,73182085,7627985,80
16422,73182085,7627985,80
16422,73182085,7627985,42
16422,73181022,7626705,296
16422,73181022,7626705,76
16422,73181022,7626703,342
16422,73181022,7626703,122
16422,73181022,7626713,342
16422,73181022,7626713,31
16422,73181022,7626711,251
16422,73181022,7626707,342
16422,73181022,7626707,305
16422,73181022,7626694,158
16422,73181022,7626696,117
16422,73181022,7626709,325
16422,73182085,7628017,108
16422,73190610,5121475,4
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
16422,73190610,7628311,8
